Unnamed: 0,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,Hours,whyplay,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,Playstyle,GAD_T,SPIN_T,Residence_ISO3,Birthplace_ISO3
72,0,0,0,0,0,0,0,10.0,having fun,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Male,18,Student at college / university,USA,Multiplayer - online - with strangers,0,68.0,USA,USA
73,2,2,2,2,1,0,1,7.0,having fun,0.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,Male,19,Student at college / university,USA,Singleplayer,10,21.0,USA,USA
74,0,0,0,0,0,1,0,25.0,all,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,23,Employed,USA,Singleplayer,1,3.0,USA,USA
75,3,2,3,3,0,3,2,10.0,winning,4.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Male,24,Student at college / university,Canada,Multiplayer - online - with strangers,16,61.0,CAN,CAN
76,2,3,3,2,3,3,3,25.0,improving,1.0,2.0,1.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Male,18,Student at school,Latvia,Multiplayer - online - with real life friends,19,47.0,LVA,LVA
77,2,2,2,2,1,1,1,25.0,having fun,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Student at college / university,USA,Singleplayer,11,15.0,USA,USA
78,0,0,0,0,0,0,0,10.0,improving,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,Male,23,Student at college / university,Austria,Multiplayer - online - with real life friends,0,36.0,AUT,AUT
79,0,0,1,1,1,0,1,30.0,having fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,UK,Multiplayer - online - with online acquaintances or teammates,4,0.0,GBR,GBR
80,2,1,1,1,0,1,2,20.0,improving,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,Male,19,Student at college / university,Australia,Multiplayer - online - with real life friends,8,25.0,AUS,AUS
81,3,3,3,3,3,3,3,40.0,winning,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,Male,21,Student at school,USA,Multiplayer - online - with online acquaintances or teammates,21,45.0,USA,USA
82,0,0,0,0,0,0,0,5.0,having fun,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,19,Student at college / university,UK,Multiplayer - online - with strangers,0,13.0,GBR,GBR
83,2,2,2,2,0,1,1,25.0,having fun,1.0,0.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,Female,34,Unemployed / between jobs,USA,Singleplayer,10,38.0,USA,USA
84,1,2,2,0,2,1,1,10.0,having fun,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Male,19,Student at college / university,USA,Singleplayer,9,5.0,USA,USA
85,0,0,0,0,0,0,0,5.0,having fun,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,50,Employed,Japan,Singleplayer,0,7.0,JPN,USA
86,3,3,3,3,2,3,1,10.0,improving,1.0,4.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,Female,20,Employed,USA,Multiplayer - online - with strangers,18,30.0,USA,USA
